0	0
5	0
5	5
5	10
5	15
5	20
5	25
5	30
5	35
5	40
5	45
5	50
5	55
5	60
5	65
5	70
5	75
5	80
5	85
5	90
5	95
5	100
5	105
5	110
5	115
5	120
5	125
5	130
5	135
5	140
5	145
5	150
5	155
5	160
5	165
5	170
5	175
5	-180
5	-175
5	-170
5	-165
5	-160
5	-155
5	-150
5	-145
5	-140
5	-135
5	-130
5	-125
5	-120
5	-115
5	-110
5	-105
5	-100
5	-95
5	-90
5	-85
5	-80
5	-75
5	-70
5	-65
5	-60
5	-55
5	-50
5	-45
5	-40
5	-35
5	-30
5	-25
5	-20
5	-15
5	-10
5	-5
10	0
10	5
10	10
10	15
10	20
10	25
10	30
10	35
10	40
10	45
10	50
10	55
10	60
10	65
10	70
10	75
10	80
10	85
10	90
10	95
10	100
10	105
10	110
10	115
10	120
10	125
10	130
10	135
10	140
10	145
10	150
10	155
10	160
10	165
10	170
10	175
10	-180
10	-175
10	-170
10	-165
10	-160
10	-155
10	-150
10	-145
10	-140
10	-135
10	-130
10	-125
10	-120
10	-115
10	-110
10	-105
10	-100
10	-95
10	-90
10	-85
10	-80
10	-75
10	-70
10	-65
10	-60
10	-55
10	-50
10	-45
10	-40
10	-35
10	-30
10	-25
10	-20
10	-15
10	-10
10	-5
15	0
15	5
15	10
15	15
15	20
15	25
15	30
15	35
15	40
15	45
15	50
15	55
15	60
15	65
15	70
15	75
15	80
15	85
15	90
15	95
15	100
15	105
15	110
15	115
15	120
15	125
15	130
15	135
15	140
15	145
15	150
15	155
15	160
15	165
15	170
15	175
15	-180
15	-175
15	-170
15	-165
15	-160
15	-155
15	-150
15	-145
15	-140
15	-135
15	-130
15	-125
15	-120
15	-115
15	-110
15	-105
15	-100
15	-95
15	-90
15	-85
15	-80
15	-75
15	-70
15	-65
15	-60
15	-55
15	-50
15	-45
15	-40
15	-35
15	-30
15	-25
15	-20
15	-15
15	-10
15	-5
20	0
20	5
20	10
20	15
20	20
20	25
20	30
20	35
20	40
20	45
20	50
20	55
20	60
20	65
20	70
20	75
20	80
20	85
20	90
20	95
20	100
20	105
20	110
20	115
20	120
20	125
20	130
20	135
20	140
20	145
20	150
20	155
20	160
20	165
20	170
20	175
20	-180
20	-175
20	-170
20	-165
20	-160
20	-155
20	-150
20	-145
20	-140
20	-135
20	-130
20	-125
20	-120
20	-115
20	-110
20	-105
20	-100
20	-95
20	-90
20	-85
20	-80
20	-75
20	-70
20	-65
20	-60
20	-55
20	-50
20	-45
20	-40
20	-35
20	-30
20	-25
20	-20
20	-15
20	-10
20	-5
25	0
25	5
25	10
25	15
25	20
25	25
25	30
25	35
25	40
25	45
25	50
25	55
25	60
25	65
25	70
25	75
25	80
25	85
25	90
25	95
25	100
25	105
25	110
25	115
25	120
25	125
25	130
25	135
25	140
25	145
25	150
25	155
25	160
25	165
25	170
25	175
25	-180
25	-175
25	-170
25	-165
25	-160
25	-155
25	-150
25	-145
25	-140
25	-135
25	-130
25	-125
25	-120
