280.6126,279.502,295.7472,373.1732
328.7374,328.6259,391.1905,300.8602
307.6094,339.3051,282.1124,421.3818
282.3733,339.3051,261.6603,300.8602
279.4388,317.9468,241.2081,276.7559
275.9175,294.4527,241.2081,276.7559
262.4191,292.3169,261.6603,349.0688
258.8977,309.4035,329.8341,276.7559
264.1797,296.5886,248.0255,349.0688
257.1371,268.8228,248.0255,421.3818
234.8353,241.0571,288.9298,252.6516
247.7469,258.1437,282.1124,349.0688
226.032,266.687,234.3907,252.6516
233.0747,247.4646,213.9386,324.9645
213.7074,228.2421,227.5734,228.5473
198.4483,194.0689,248.0255,156.2343
197.2745,217.563,207.1212,180.3386
219.5763,241.0571,288.9298,204.4429
206.6647,232.5138,213.9386,300.8602
187.2974,204.7481,166.2169,204.4429
192.5794,226.1063,213.9386,204.4429
194.3401,232.5138,234.3907,180.3386
204.3172,213.2914,234.3907,252.6516
185.5368,206.8839,220.756,228.5473
186.7106,213.2914,248.0255,276.7559
182.6023,185.5256,213.9386,300.8602
199.6221,198.3406,248.0255,324.9645
187.2974,219.6988,234.3907,276.7559
179.6679,185.5256,227.5734,228.5473
178.4941,230.378,200.3038,324.9645
201.3827,217.563,227.5734,252.6516
180.2548,202.6122,248.0255,252.6516
193.7532,206.8839,213.9386,204.4429
178.4941,194.0689,254.8429,204.4429
201.3827,251.7362,207.1212,132.13
189.645,204.7481,261.6603,228.5473
179.6679,198.3406,248.0255,276.7559
197.8614,234.6496,227.5734,276.7559
199.0352,206.8839,241.2081,276.7559
195.5139,206.8839,220.756,228.5473
214.2943,194.0689,200.3038,324.9645
196.6876,251.7362,200.3038,204.4429
227.7927,217.563,234.3907,228.5473
221.9238,262.4154,220.756,228.5473
246.5731,277.3661,275.295,373.1732
235.4222,234.6496,227.5734,300.8602
223.0976,243.1929,220.756,300.8602
262.4191,281.6378,295.7472,252.6516
253.0289,245.3288,282.1124,228.5473
266.5273,307.2677,275.295,228.5473
271.8093,309.4035,241.2081,300.8602
292.9372,294.4527,295.7472,324.9645
305.8488,337.1692,288.9298,204.4429
304.0881,283.7736,309.3819,324.9645
322.2816,320.0826,295.7472,324.9645
335.78,292.3169,309.3819,421.3818
345.7571,360.6633,288.9298,324.9645
356.3211,386.2932,363.921,349.0688
360.4293,347.8484,268.4776,373.1732
355.1473,384.1574,377.5558,373.1732
371.5802,345.7125,323.0167,252.6516
383.3179,367.0708,398.0079,349.0688
408.5541,352.12,377.5558,445.4861
396.8164,426.8739,513.9034,252.6516
391.5344,377.7499,377.5558,324.9645
400.9246,382.0216,357.1036,276.7559
397.9901,337.1692,343.4689,349.0688
401.5115,347.8484,391.1905,493.6947
395.0557,405.5157,336.6515,300.8602
370.4064,335.0334,336.6515,252.6516
332.8456,330.7618,391.1905,445.4861
369.8195,341.4409,363.921,228.5473
346.344,360.6633,268.4776,397.2775
370.9933,371.3425,241.2081,276.7559
341.062,367.0708,309.3819,300.8602
301.7405,369.2066,343.4689,373.1732
292.3503,273.0945,268.4776,324.9645
256.5502,281.6378,254.8429,252.6516
268.8748,292.3169,261.6603,300.8602
229.5534,236.7854,282.1124,180.3386
233.6616,283.7736,248.0255,324.9645
218.9894,249.6004,248.0255,276.7559
213.7074,219.6988,227.5734,276.7559
215.4681,256.0079,234.3907,300.8602
199.0352,226.1063,227.5734,204.4429
183.1892,202.6122,234.3907,276.7559
169.1039,168.439,186.6691,204.4429
167.9301,213.2914,234.3907,276.7559
174.3859,181.254,241.2081,276.7559
166.1695,215.4272,207.1212,252.6516
173.799,223.9705,254.8429,228.5473
172.0384,194.0689,179.8517,180.3386
160.8875,196.2048,227.5734,204.4429
166.7564,183.3898,207.1212,204.4429
153.258,185.5256,220.756,180.3386
169.1039,194.0689,213.9386,397.2775
197.2745,196.2048,241.2081,252.6516
163.8219,170.5749,227.5734,228.5473
177.3204,209.0197,213.9386,252.6516
164.4088,185.5256,200.3038,204.4429
162.0613,196.2048,234.3907,156.2343
162.6482,170.5749,173.0343,276.7559
166.7564,168.439,207.1212,276.7559
157.3662,183.3898,213.9386,204.4429
177.9072,168.439,186.6691,228.5473
157.9531,196.2048,200.3038,204.4429
178.4941,183.3898,234.3907,156.2343
164.9957,196.2048,234.3907,204.4429
179.081,176.9823,193.4864,204.4429
163.235,198.3406,213.9386,180.3386
169.1039,209.0197,248.0255,228.5473
174.3859,187.6615,173.0343,276.7559
170.8646,194.0689,220.756,252.6516
179.081,181.254,227.5734,204.4429
183.1892,187.6615,282.1124,228.5473
189.645,198.3406,207.1212,180.3386
195.5139,200.4764,207.1212,276.7559
208.4254,211.1555,261.6603,300.8602
199.0352,223.9705,213.9386,349.0688
218.4025,245.3288,268.4776,204.4429
238.9436,234.6496,213.9386,252.6516
241.2911,234.6496,282.1124,397.2775
263.5928,264.5512,309.3819,276.7559
268.8748,281.6378,254.8429,156.2343
295.8717,258.1437,316.1993,228.5473
310.5439,330.7618,309.3819,541.9034
326.3898,382.0216,363.921,373.1732
360.4293,349.9842,343.4689,469.5904
372.1671,424.7381,384.3731,445.4861
422.6394,409.7873,329.8341,373.1732
